movie_title,Title_URL,image_url,movie_url,release_year,certificate,time,genre,stars,Score,description,director_url,director_name,cast_url1,cast1,cast_url2,cast2,cast_url3,cast3,cast_url4,cast4,votes
The Christmas Ring,https://www.imdb.com/title/tt13267034/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt13267034/?ref_=kw_li_i,(2020 TV Movie),TV-G,84 min,"Drama, Romance",6.5,,A website writer tries to locate the owner of an antique engagement ring for her latest human interest story.,https://www.imdb.com/name/nm1758196/?ref_=kw_li_dr_0,Troy Scott,https://www.imdb.com/name/nm1345890/?ref_=kw_li_st_0,Nazneen Contractor,https://www.imdb.com/name/nm0022351/?ref_=kw_li_st_1,David Alpay,https://www.imdb.com/name/nm2831024/?ref_=kw_li_st_2,Kazumi Evans,https://www.imdb.com/name/nm3650800/?ref_=kw_li_st_3,Chelsey Reist,953
Office Christmas Party,https://www.imdb.com/title/tt1711525/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt1711525/?ref_=kw_li_i,(2016),R,105 min,Comedy,5.8,"42        
        Metascore","When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",https://www.imdb.com/name/nm0330347/?ref_=kw_li_dr_0,Josh Gordon,https://www.imdb.com/name/nm0817447/?ref_=kw_li_dr_1,Will Speck,https://www.imdb.com/name/nm0000867/?ref_=kw_li_st_0,Jason Bateman,https://www.imdb.com/name/nm1601397/?ref_=kw_li_st_1,Olivia Munn,https://www.imdb.com/name/nm2554352/?ref_=kw_li_st_2,T.J. Miller,"80,405"
The Christmas Chronicles: Part Two,https://www.imdb.com/title/tt11057644/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt11057644/?ref_=kw_li_i,(2020),PG,112 min,"Adventure, Comedy, Family",6.0,"51        
        Metascore","Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",https://www.imdb.com/name/nm0001060/?ref_=kw_li_dr_0,Chris Columbus,https://www.imdb.com/name/nm0000621/?ref_=kw_li_st_0,Kurt Russell,https://www.imdb.com/name/nm0000443/?ref_=kw_li_st_1,Goldie Hawn,https://www.imdb.com/name/nm6081322/?ref_=kw_li_st_2,Darby Camp,https://www.imdb.com/name/nm5421877/?ref_=kw_li_st_3,Julian Dennison,"30,027"
Time for Me to Come Home for Christmas,https://www.imdb.com/title/tt9093130/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt9093130/?ref_=kw_li_i,(2018 TV Movie),TV-G,84 min,"Comedy, Drama, Music",6.6,,"When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.",https://www.imdb.com/name/nm0003941/?ref_=kw_li_dr_0,David Winning,https://www.imdb.com/name/nm1259068/?ref_=kw_li_st_0,Josh Henderson,https://www.imdb.com/name/nm1177914/?ref_=kw_li_st_1,Megan Park,https://www.imdb.com/name/nm1535265/?ref_=kw_li_st_2,Lindsay Maxwell,https://www.imdb.com/name/nm0569295/?ref_=kw_li_st_3,Paul McGillion,"1,448"
8-Bit Christmas,https://www.imdb.com/title/tt11540284/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt11540284/?ref_=kw_li_i,(2021),PG,97 min,"Comedy, Family",6.7,"66        
        Metascore","In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",https://www.imdb.com/name/nm0236226/?ref_=kw_li_dr_0,Michael Dowse,https://www.imdb.com/name/nm9121761/?ref_=kw_li_st_0,Winslow Fegley,https://www.imdb.com/name/nm0000439/?ref_=kw_li_st_1,Neil Patrick Harris,https://www.imdb.com/name/nm0001872/?ref_=kw_li_st_2,Steve Zahn,https://www.imdb.com/name/nm2053085/?ref_=kw_li_st_3,June Diane Raphael,"16,235"
The Nutcracker and the Four Realms,https://www.imdb.com/title/tt5523010/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt5523010/?ref_=kw_li_i,(2018),PG,99 min,"Adventure, Family, Fantasy",5.5,"39        
        Metascore",A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,https://www.imdb.com/name/nm0002120/?ref_=kw_li_dr_0,Lasse Hallström,https://www.imdb.com/name/nm0002653/?ref_=kw_li_dr_1,Joe Johnston,https://www.imdb.com/name/nm3237775/?ref_=kw_li_st_0,Mackenzie Foy,https://www.imdb.com/name/nm0461136/?ref_=kw_li_st_1,Keira Knightley,https://www.imdb.com/name/nm0000151/?ref_=kw_li_st_2,Morgan Freeman,"33,727"
Noelle,https://www.imdb.com/title/tt5097410/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt5097410/?ref_=kw_li_i,(2019),G,100 min,"Adventure, Comedy, Family",6.3,"48        
        Metascore","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",https://www.imdb.com/name/nm0492909/?ref_=kw_li_dr_0,Marc Lawrence,https://www.imdb.com/name/nm0447695/?ref_=kw_li_st_0,Anna Kendrick,https://www.imdb.com/name/nm0000511/?ref_=kw_li_st_1,Shirley MacLaine,https://www.imdb.com/name/nm0352778/?ref_=kw_li_st_2,Bill Hader,https://www.imdb.com/name/nm4667984/?ref_=kw_li_st_3,Kingsley Ben-Adir,"21,640"
Switched for Christmas,https://www.imdb.com/title/tt7038606/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt7038606/?ref_=kw_li_i,(2017 TV Movie),TV-G,90 min,"Comedy, Drama, Family",6.6,,"When identical twin sisters are stuck planning their respective Christmas parties, they're convinced the grass is greener on the other side and decide to swap lives for the holidays.",https://www.imdb.com/name/nm0295105/?ref_=kw_li_dr_0,Lee Friedlander,https://www.imdb.com/name/nm0121026/?ref_=kw_li_st_0,Candace Cameron Bure,https://www.imdb.com/name/nm0047248/?ref_=kw_li_st_1,Eion Bailey,https://www.imdb.com/name/nm0215293/?ref_=kw_li_st_2,Mark Deklin,https://www.imdb.com/name/nm4475298/?ref_=kw_li_st_3,Natasha Bure,"2,963"
Christmas by Starlight,https://www.imdb.com/title/tt13206476/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt13206476/?ref_=kw_li_i,(2020 TV Movie),TV-G,84 min,"Comedy, Drama, Romance",7.2,,"When her family's beloved café is slated for demolition, Annie vows to put a stop to it before Christmas.",https://www.imdb.com/name/nm0946750/?ref_=kw_li_dr_0,Gary Yates,https://www.imdb.com/name/nm3666289/?ref_=kw_li_st_0,Kimberley Sustad,https://www.imdb.com/name/nm1353748/?ref_=kw_li_st_1,Paul Campbell,https://www.imdb.com/name/nm8674941/?ref_=kw_li_st_2,Darren Martens,https://www.imdb.com/name/nm0206079/?ref_=kw_li_st_3,Bruce Dawson,"1,716"
Chateau Christmas,https://www.imdb.com/title/tt13350688/?ref_=kw_li_tt,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,https://www.imdb.com/title/tt13350688/?ref_=kw_li_i,(2020 TV Movie),TV-G,84 min,"Comedy, Drama, Music",6.4,,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",https://www.imdb.com/name/nm0733227/?ref_=kw_li_dr_0,Michael Robison,https://www.imdb.com/name/nm2278896/?ref_=kw_li_st_0,Merritt Patterson,https://www.imdb.com/name/nm1682832/?ref_=kw_li_st_1,Luke Macfarlane,https://www.imdb.com/name/nm1237948/?ref_=kw_li_st_2,Jesse Hutch,https://www.imdb.com/name/nm1365460/?ref_=kw_li_st_3,Julia Benson,"1,479"
